Student,Grade,Feedback count,HW6,HW11,First_opened_mean_HW,Online,Preference,Both,Viewed_lecture_1_materials,Viewed_lecture_2_materials,Viewed_lecture_3_materials,Viewed_lecture_4_materials,Viewed_lecture_5_materials,Viewed_lecture_6_materials,Viewed_lecture_7_materials,Viewed_lecture_8_materials,Viewed_lecture_9_materials,Viewed_lecture_10_materials,Viewed_lecture_11_materials,Viewed_lecture_12_materials,Viewed_lecture_13_materials,Viewed_lecture_14_materials,Viewed_lecture_15_materials,Viewed sample solutions of Homework,Viewed past years' exam,Viewed sample solutions,Watched,Total_activity_week_1,Total_activity_week_2,Total_activity_week_3,Total_activity_week_4,Total_activity_week_5,Total_activity_week_6,Total_activity_week_7,Total_activity_week_8,Total_activity_week_9,Total_activity_week_10,Total_activity_week_11,Total_activity_week_12,Total_activity_week_13,Total_activity_week_14,Total_activity_week_15,Total_activity_week_16,Total_activity_week_17,Total_activity_week_18,start_before_HW1,start_before_HW2,start_before_HW3,start_before_HW4,start_before_HW5,start_before_HW6,start_before_HW7,start_before_HW8,start_before_HW9,start_before_HW10,start_before_HW11,start_before_HW12,submit_before_HW1,submit_before_HW2,submit_before_HW3,submit_before_HW4,submit_before_HW5,submit_before_HW6,submit_before_HW7,submit_before_HW8,submit_before_HW9,submit_before_HW10,submit_before_HW11,submit_before_HW12,start_average,submit_average,start_time_HW1,start_time_HW2,start_time_HW3,start_time_HW4,start_time_HW5,start_time_HW6,start_time_HW7,start_time_HW8,start_time_HW9,start_time_HW10,start_time_HW11,start_time_HW12,study_night_final2,study_night_final_retake
A001,4.0,24,3,6,3.3333333333333335,1,0,1,41,5,9,8,8,8,9,10,12,6,10,8,7,3,1,16,0,16,0,3.0,3.0,1.0,7.0,22.0,12.0,19.0,6.0,12.0,10.0,4.0,27.0,12.0,11.0,16.0,15.0,9.0,0.0,5,4,4,1,5,4,0,1,0,1,5,-1,1,0,0,0,0,0,0,0,0,0,0,-1,2.4166666666666665,0.0,25.0,25.0,25.0,25.0,25.0,25.0,13.926111111111112,25.0,11.549166666666668,25.0,25.0,-1.0,0,0
A002,6.0,51,9,4,5.083333333333333,6,0,1,37,8,9,5,6,4,7,8,8,5,10,9,4,3,3,2,1,2,3,0.0,5.0,6.0,6.0,12.0,19.0,6.0,8.0,15.0,25.0,14.0,9.0,26.0,13.0,28.0,4.0,14.0,0.0,4,2,4,8,7,2,5,4,4,3,9,10,4,0,3,1,6,1,0,0,0,3,6,-1,5.166666666666667,1.9166666666666667,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
A003,0.0,3,0,0,7.75,1,1,1,6,7,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4.0,8.0,2.0,8.0,11.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.9166666666666667,-0.75,25.0,25.0,25.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
A004,2.0,53,4,8,5.909090909090909,1,1,2,59,11,8,13,8,4,6,11,12,10,9,8,7,4,5,7,1,8,17,22.0,8.0,5.0,20.0,12.0,13.0,18.0,5.0,26.0,5.0,3.0,22.0,38.0,9.0,20.0,15.0,37.0,6.0,10,7,11,18,1,3,1,2,0,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,5.416666666666667,0.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,12.033333333333333,25.0,25.0,25.0,0,0
A005,6.0,124,7,9,8.416666666666666,4,0,2,88,5,8,9,8,8,7,4,5,11,14,16,14,17,11,13,3,19,3,5.0,5.0,8.0,14.0,22.0,12.0,10.0,19.0,4.0,45.0,14.0,20.0,28.0,25.0,46.0,70.0,51.0,1.0,9,11,12,15,10,4,11,8,1,6,7,7,6,5,1,0,3,2,1,0,0,0,4,0,8.416666666666666,1.8333333333333333,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
A006,3.0,124,7,6,7.916666666666667,0,1,1,84,10,11,10,16,17,11,14,18,13,13,22,12,10,5,18,4,21,9,6.0,2.0,5.0,5.0,23.0,19.0,16.0,8.0,21.0,39.0,8.0,27.0,31.0,24.0,37.0,68.0,38.0,2.0,4,4,1,4,5,4,11,8,12,16,14,12,0,0,0,0,0,0,0,0,0,0,0,0,7.916666666666667,0.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
A007,3.0,13,2,2,2.0,1,0,1,39,9,11,6,7,6,3,7,6,4,10,5,9,1,1,9,3,9,11,1.0,0.0,6.0,2.0,12.0,11.0,12.0,0.0,20.0,13.0,1.0,9.0,10.0,2.0,9.0,49.0,0.0,0.0,1,0,0,0,0,3,0,0,0,0,0,-1,1,0,0,0,0,3,0,0,0,0,0,-1,0.25,0.25,25.0,3.255555555555553,2.4224999999999994,3.1405555555555544,4.418333333333333,25.0,3.0919444444444473,10.872222222222222,4.207222222222221,4.251111111111111,0.5311111111111124,-1.0,0,0
A008,6.0,33,4,3,4.583333333333333,0,1,1,26,1,2,1,0,0,2,1,4,5,7,3,5,3,3,7,1,8,16,5.0,2.0,0.0,7.0,10.0,4.0,8.0,8.0,8.0,11.0,10.0,15.0,8.0,18.0,26.0,8.0,3.0,0.0,6,3,1,2,5,6,3,2,3,3,9,12,6,3,1,2,5,6,3,2,3,3,9,10,4.583333333333333,4.416666666666667,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
A009,1.0,14,4,0,4.8,0,1,1,39,6,7,4,7,8,8,4,4,3,5,4,2,9,5,4,9,10,2,5.0,1.0,5.0,2.0,5.0,3.0,15.0,3.0,4.0,53.0,5.0,2.0,4.0,0.0,0.0,0.0,12.0,57.0,7,9,-1,-1,3,1,-1,4,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.4166666666666667,-0.3333333333333333,25.0,25.0,-1.0,-1.0,25.0,25.0,-1.0,25.0,-1.0,-1.0,-1.0,-1.0,1,0
A010,0.0,5,0,0,1.0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3.0,2.0,0.0,2.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.5833333333333334,-0.75,25.0,2.7280555555555566,5.468333333333334,12.850555555555555,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
